Date,E95,E98,D7,Mazout_moins,Mazout_plus,today
29/01/23,1.81,2.02,1.83,1.09,1.06,29/01/2023 à 11:05
30/01/23,1.81,2.02,1.83,1.09,1.06,29/01/2023 à 11:05
